# P(s) decay curve
# Decay exponent: -0.6599
# R-squared: 0.8144
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0355886	0.0000	-1.4487
2	0.0320057	0.3010	-1.4948
3	0.0293202	0.4771	-1.5328
4	0.0257981	0.6021	-1.5884
5	0.0230090	0.6990	-1.6381
6	0.0214249	0.7782	-1.6691
7	0.0203790	0.8451	-1.6908
8	0.0196167	0.9031	-1.7074
9	0.0185390	0.9542	-1.7319
10	0.0177394	1.0000	-1.7511
11	0.0167630	1.0414	-1.7756
12	0.0165608	1.0792	-1.7809
13	0.0161547	1.1139	-1.7917
14	0.0161353	1.1461	-1.7922
15	0.0155460	1.1761	-1.8084
16	0.0149513	1.2041	-1.8253
17	0.0149169	1.2304	-1.8263
18	0.0147523	1.2553	-1.8311
19	0.0145290	1.2788	-1.8378
20	0.0137198	1.3010	-1.8627
21	0.0137547	1.3222	-1.8615
22	0.0132241	1.3424	-1.8786
23	0.0128396	1.3617	-1.8914
24	0.0119981	1.3802	-1.9209
25	0.0115779	1.3979	-1.9364
26	0.0109019	1.4150	-1.9625
27	0.0104900	1.4314	-1.9792
28	0.00932032	1.4472	-2.0306
29	0.00899793	1.4624	-2.0459
30	0.00837960	1.4771	-2.0768
31	0.00763430	1.4914	-2.1172
32	0.00737712	1.5051	-2.1321
33	0.00696841	1.5185	-2.1569
34	0.00685018	1.5315	-2.1643
35	0.00684039	1.5441	-2.1649
36	0.00674935	1.5563	-2.1707
37	0.00633369	1.5682	-2.1983
38	0.00657987	1.5798	-2.1818
39	0.00608731	1.5911	-2.2156
40	0.00589357	1.6021	-2.2296
41	0.00574821	1.6128	-2.2405
42	0.00520178	1.6232	-2.2838
43	0.00504288	1.6335	-2.2973
44	0.00521406	1.6435	-2.2828
45	0.00490961	1.6532	-2.3090
46	0.00498723	1.6628	-2.3021
47	0.00500204	1.6721	-2.3009
48	0.00525092	1.6812	-2.2798
49	0.00524434	1.6902	-2.2803
50	0.00571109	1.6990	-2.2433
51	0.00557279	1.7076	-2.2539
52	0.00525610	1.7160	-2.2793
53	0.00487690	1.7243	-2.3119
54	0.00446491	1.7324	-2.3502
55	0.00177727	1.7404	-2.7502
56	0.00189132	1.7482	-2.7232
