# P(s) decay curve
# Decay exponent: -1.1384
# R-squared: 0.6651
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0617236	0.0000	-1.2095
2	0.0311376	0.3010	-1.5067
3	0.0276224	0.4771	-1.5587
4	0.0255615	0.6021	-1.5924
5	0.0232897	0.6990	-1.6328
6	0.0214413	0.7782	-1.6687
7	0.0198052	0.8451	-1.7032
8	0.0179181	0.9031	-1.7467
9	0.0170312	0.9542	-1.7688
10	0.0160164	1.0000	-1.7954
11	0.0152441	1.0414	-1.8169
12	0.0142481	1.0792	-1.8462
13	0.0131410	1.1139	-1.8814
14	0.0130643	1.1461	-1.8839
15	0.0124845	1.1761	-1.9036
16	0.0116644	1.2041	-1.9331
17	0.0112865	1.2304	-1.9474
18	0.0110686	1.2553	-1.9559
19	0.0105015	1.2788	-1.9787
20	0.00994657	1.3010	-2.0023
21	0.00945672	1.3222	-2.0243
22	0.00880408	1.3424	-2.0553
23	0.00780790	1.3617	-2.1075
24	0.00759208	1.3802	-2.1196
25	0.00715101	1.3979	-2.1456
26	0.00682888	1.4150	-2.1657
27	0.00655181	1.4314	-2.1836
28	0.00613311	1.4472	-2.2123
29	0.00603175	1.4624	-2.2196
30	0.00557032	1.4771	-2.2541
31	0.00552246	1.4914	-2.2579
32	0.00502984	1.5051	-2.2984
33	0.00494622	1.5185	-2.3057
34	0.00503170	1.5315	-2.2983
35	0.00437792	1.5441	-2.3587
36	0.00399345	1.5563	-2.3987
37	0.00430315	1.5682	-2.3662
38	0.00381562	1.5798	-2.4184
39	0.00380216	1.5911	-2.4200
40	0.00313918	1.6021	-2.5032
41	0.00335803	1.6128	-2.4739
42	0.00356324	1.6232	-2.4482
43	0.00255408	1.6335	-2.5928
44	0.00248447	1.6435	-2.6048
45	0.00241037	1.6532	-2.6179
46	0.00218463	1.6628	-2.6606
47	0.00227139	1.6721	-2.6437
48	0.00235346	1.6812	-2.6283
49	0.00199776	1.6902	-2.6995
50	0.00175136	1.6990	-2.7566
51	0.00163509	1.7076	-2.7865
52	0.00155681	1.7160	-2.8078
53	0.00163885	1.7243	-2.7855
54	0.00203670	1.7324	-2.6911
55	0.00208455	1.7404	-2.6810
56	0.00196220	1.7482	-2.7073
57	0.00261430	1.7559	-2.5826
58	0.00227456	1.7634	-2.6431
59	0.00150943	1.7709	-2.8212
60	0.00194516	1.7782	-2.7110
61	0.000996083	1.7853	-3.0017
62	0.00114451	1.7924	-2.9414
63	0.00110528	1.7993	-2.9565
64	0.00168824	1.8062	-2.7726
65	0.00130093	1.8129	-2.8857
66	0.00149854	1.8195	-2.8243
67	0.00146971	1.8261	-2.8328
68	0.00138390	1.8325	-2.8589
69	0.00112137	1.8388	-2.9503
70	0.000294888	1.8451	-3.5303
72	0.000461839	1.8573	-3.3355
73	0.000178667	1.8633	-3.7480
74	0.000449939	1.8692	-3.3468
75	0.000671418	1.8751	-3.1730
76	0.000281085	1.8808	-3.5512
77	0.000471359	1.8865	-3.3266
78	0.00175886	1.8921	-2.7548
79	0.000476432	1.8976	-3.3220
81	0.000586355	1.9085	-3.2318
82	0.000223758	1.9138	-3.6502
83	0.000559387	1.9191	-3.2523
84	0.000292434	1.9243	-3.5340
91	0.00101211	1.9590	-2.9948
93	0.00124538	1.9685	-2.9047
95	0.00515529	1.9777	-2.2877
101	0.00358012	2.0043	-2.4461
108	0.0461914	2.0334	-1.3354
