# P(s) decay curve
# Decay exponent: -0.8007
# R-squared: 0.8238
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0358695	0.0000	-1.4453
2	0.0328802	0.3010	-1.4831
3	0.0321803	0.4771	-1.4924
4	0.0297751	0.6021	-1.5261
5	0.0272210	0.6990	-1.5651
6	0.0251937	0.7782	-1.5987
7	0.0237304	0.8451	-1.6247
8	0.0228648	0.9031	-1.6408
9	0.0219165	0.9542	-1.6592
10	0.0207778	1.0000	-1.6824
11	0.0193340	1.0414	-1.7137
12	0.0180953	1.0792	-1.7424
13	0.0177776	1.1139	-1.7501
14	0.0170371	1.1461	-1.7686
15	0.0156719	1.1761	-1.8049
16	0.0147417	1.2041	-1.8315
17	0.0130297	1.2304	-1.8851
18	0.0119214	1.2553	-1.9237
19	0.0106917	1.2788	-1.9710
20	0.00973481	1.3010	-2.0117
21	0.00988162	1.3222	-2.0052
22	0.00996500	1.3424	-2.0015
23	0.00925855	1.3617	-2.0335
24	0.00842824	1.3802	-2.0743
25	0.00847090	1.3979	-2.0721
26	0.00793758	1.4150	-2.1003
27	0.00798982	1.4314	-2.0975
28	0.00750249	1.4472	-2.1248
29	0.00765170	1.4624	-2.1162
30	0.00748283	1.4771	-2.1259
31	0.00794738	1.4914	-2.0998
32	0.00717537	1.5051	-2.1442
33	0.00648043	1.5185	-2.1884
34	0.00516755	1.5315	-2.2867
35	0.00689838	1.5441	-2.1613
36	0.00592281	1.5563	-2.2275
37	0.00441963	1.5682	-2.3546
38	0.00415483	1.5798	-2.3814
39	0.00453400	1.5911	-2.3435
40	0.00452875	1.6021	-2.3440
41	0.00430888	1.6128	-2.3656
42	0.00468393	1.6232	-2.3294
43	0.00376325	1.6335	-2.4244
44	0.00258242	1.6435	-2.5880
45	0.00284605	1.6532	-2.5458
46	0.00263604	1.6628	-2.5790
47	0.00555451	1.6721	-2.2554
48	0.00771840	1.6812	-2.1125
49	0.00458151	1.6902	-2.3390
50	0.00270387	1.6990	-2.5680
51	0.00158495	1.7076	-2.8000
52	0.00343766	1.7160	-2.4637
53	0.00221645	1.7243	-2.6543
54	0.00315323	1.7324	-2.5012
