# P(s) decay curve
# Decay exponent: -0.2811
# R-squared: 0.2306
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0115066	0.0000	-1.9391
2	0.0106968	0.3010	-1.9707
3	0.0103889	0.4771	-1.9834
4	0.0102308	0.6021	-1.9901
5	0.0102971	0.6990	-1.9873
6	0.00996924	0.7782	-2.0013
7	0.00967784	0.8451	-2.0142
8	0.00946782	0.9031	-2.0238
9	0.00864376	0.9542	-2.0633
10	0.00763859	1.0000	-2.1170
11	0.00675224	1.0414	-2.1706
12	0.00631234	1.0792	-2.1998
13	0.00609093	1.1139	-2.2153
14	0.00589041	1.1461	-2.2299
15	0.00562798	1.1761	-2.2496
16	0.00540976	1.2041	-2.2668
17	0.00516532	1.2304	-2.2869
18	0.00479482	1.2553	-2.3192
19	0.00430695	1.2788	-2.3658
20	0.00405600	1.3010	-2.3919
21	0.00365112	1.3222	-2.4376
22	0.00343117	1.3424	-2.4646
23	0.00315393	1.3617	-2.5011
24	0.00293138	1.3802	-2.5329
25	0.00276656	1.3979	-2.5581
26	0.00265596	1.4150	-2.5758
27	0.00253178	1.4314	-2.5966
28	0.00246117	1.4472	-2.6089
29	0.00234955	1.4624	-2.6290
30	0.00236595	1.4771	-2.6260
31	0.00229021	1.4914	-2.6401
32	0.00219578	1.5051	-2.6584
33	0.00222651	1.5185	-2.6524
34	0.00226335	1.5315	-2.6452
35	0.00225983	1.5441	-2.6459
36	0.00229170	1.5563	-2.6398
37	0.00219708	1.5682	-2.6582
38	0.00230299	1.5798	-2.6377
39	0.00222300	1.5911	-2.6531
40	0.00223364	1.6021	-2.6510
41	0.00222084	1.6128	-2.6535
42	0.00225306	1.6232	-2.6472
43	0.00211195	1.6335	-2.6753
44	0.00206640	1.6435	-2.6848
45	0.00220014	1.6532	-2.6576
46	0.00207881	1.6628	-2.6822
47	0.00223968	1.6721	-2.6498
48	0.00216790	1.6812	-2.6640
49	0.00213027	1.6902	-2.6716
50	0.00209088	1.6990	-2.6797
51	0.00230531	1.7076	-2.6373
52	0.00204549	1.7160	-2.6892
53	0.00204075	1.7243	-2.6902
54	0.00223949	1.7324	-2.6499
55	0.00209538	1.7404	-2.6787
56	0.00210359	1.7482	-2.6770
57	0.00199668	1.7559	-2.6997
58	0.00197074	1.7634	-2.7054
59	0.00211262	1.7709	-2.6752
60	0.00188654	1.7782	-2.7243
61	0.00199007	1.7853	-2.7011
62	0.00205962	1.7924	-2.6862
63	0.00179945	1.7993	-2.7449
64	0.00206483	1.8062	-2.6851
65	0.00199095	1.8129	-2.7009
66	0.00205956	1.8195	-2.6862
67	0.00192002	1.8261	-2.7167
68	0.00194004	1.8325	-2.7122
69	0.00191742	1.8388	-2.7173
70	0.00209785	1.8451	-2.6782
71	0.00202178	1.8513	-2.6943
72	0.00226072	1.8573	-2.6458
73	0.00231142	1.8633	-2.6361
74	0.00238634	1.8692	-2.6223
75	0.00256617	1.8751	-2.5907
76	0.00262310	1.8808	-2.5812
77	0.00248290	1.8865	-2.6050
78	0.00263511	1.8921	-2.5792
79	0.00252527	1.8976	-2.5977
80	0.00270349	1.9031	-2.5681
81	0.00280209	1.9085	-2.5525
82	0.00279774	1.9138	-2.5532
83	0.00315928	1.9191	-2.5004
84	0.00302867	1.9243	-2.5187
85	0.00386927	1.9294	-2.4124
86	0.00356718	1.9345	-2.4477
87	0.00432493	1.9395	-2.3640
88	0.00483265	1.9445	-2.3158
89	0.00510758	1.9494	-2.2918
90	0.00534527	1.9542	-2.2720
91	0.00587834	1.9590	-2.2307
92	0.00584040	1.9638	-2.2336
93	0.00646711	1.9685	-2.1893
94	0.00619814	1.9731	-2.2077
95	0.00585420	1.9777	-2.2325
96	0.00601047	1.9823	-2.2211
97	0.00611666	1.9868	-2.2135
98	0.00643176	1.9912	-2.1917
99	0.00521837	1.9956	-2.2825
100	0.00612976	2.0000	-2.2126
101	0.00752027	2.0043	-2.1238
102	0.00668211	2.0086	-2.1751
103	0.00779113	2.0128	-2.1084
104	0.00677228	2.0170	-2.1693
105	0.00410078	2.0212	-2.3871
