# P(s) decay curve
# Decay exponent: -0.5852
# R-squared: 0.4847
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0218305	0.0000	-1.6609
2	0.0183488	0.3010	-1.7364
3	0.0178411	0.4771	-1.7486
4	0.0180597	0.6021	-1.7433
5	0.0181337	0.6990	-1.7415
6	0.0177794	0.7782	-1.7501
7	0.0173766	0.8451	-1.7600
8	0.0167748	0.9031	-1.7753
9	0.0166223	0.9542	-1.7793
10	0.0161775	1.0000	-1.7911
11	0.0156146	1.0414	-1.8065
12	0.0153712	1.0792	-1.8133
13	0.0146749	1.1139	-1.8334
14	0.0140060	1.1461	-1.8537
15	0.0134501	1.1761	-1.8713
16	0.0128435	1.2041	-1.8913
17	0.0121833	1.2304	-1.9142
18	0.0116111	1.2553	-1.9351
19	0.0111785	1.2788	-1.9516
20	0.0107658	1.3010	-1.9680
21	0.0103712	1.3222	-1.9842
22	0.0100152	1.3424	-1.9993
23	0.0100416	1.3617	-1.9982
24	0.00963189	1.3802	-2.0163
25	0.00949298	1.3979	-2.0226
26	0.00928134	1.4150	-2.0324
27	0.00905305	1.4314	-2.0432
28	0.00894322	1.4472	-2.0485
29	0.00892768	1.4624	-2.0493
30	0.00900859	1.4771	-2.0453
31	0.00890354	1.4914	-2.0504
32	0.00915020	1.5051	-2.0386
33	0.00901779	1.5185	-2.0449
34	0.00933364	1.5315	-2.0299
35	0.00927579	1.5441	-2.0326
36	0.00898014	1.5563	-2.0467
37	0.00899640	1.5682	-2.0459
38	0.00883881	1.5798	-2.0536
39	0.00859289	1.5911	-2.0659
40	0.00834239	1.6021	-2.0787
41	0.00829405	1.6128	-2.0812
42	0.00771770	1.6232	-2.1125
43	0.00749374	1.6335	-2.1253
44	0.00731161	1.6435	-2.1360
45	0.00705306	1.6532	-2.1516
46	0.00689224	1.6628	-2.1616
47	0.00682216	1.6721	-2.1661
48	0.00642666	1.6812	-2.1920
49	0.00608885	1.6902	-2.2155
50	0.00586107	1.6990	-2.2320
51	0.00547951	1.7076	-2.2613
52	0.00553091	1.7160	-2.2572
53	0.00556107	1.7243	-2.2548
54	0.00527442	1.7324	-2.2778
55	0.00495686	1.7404	-2.3048
56	0.00466322	1.7482	-2.3313
57	0.00466749	1.7559	-2.3309
58	0.00470068	1.7634	-2.3278
59	0.00426630	1.7709	-2.3699
60	0.00407547	1.7782	-2.3898
61	0.00368460	1.7853	-2.4336
62	0.00386921	1.7924	-2.4124
63	0.00370295	1.7993	-2.4315
64	0.00338353	1.8062	-2.4706
65	0.00325659	1.8129	-2.4872
66	0.00294718	1.8195	-2.5306
67	0.00297998	1.8261	-2.5258
68	0.00265325	1.8325	-2.5762
69	0.00254470	1.8388	-2.5944
70	0.00223355	1.8451	-2.6510
71	0.00217932	1.8513	-2.6617
72	0.00211487	1.8573	-2.6747
73	0.00180900	1.8633	-2.7426
74	0.00193595	1.8692	-2.7131
75	0.00196277	1.8751	-2.7071
76	0.00191484	1.8808	-2.7179
77	0.00192083	1.8865	-2.7165
78	0.00184973	1.8921	-2.7329
79	0.00171115	1.8976	-2.7667
80	0.00168134	1.9031	-2.7743
81	0.00156025	1.9085	-2.8068
82	0.00160195	1.9138	-2.7953
83	0.00173138	1.9191	-2.7616
84	0.00128216	1.9243	-2.8921
85	0.00165253	1.9294	-2.7818
86	0.00127141	1.9345	-2.8957
87	0.00118361	1.9395	-2.9268
88	0.00119361	1.9445	-2.9231
89	0.00144389	1.9494	-2.8405
90	0.00135574	1.9542	-2.8678
91	0.00186502	1.9590	-2.7293
92	0.00119584	1.9638	-2.9223
93	0.00150292	1.9685	-2.8231
94	0.00129790	1.9731	-2.8868
95	0.00163139	1.9777	-2.7874
96	0.00133476	1.9823	-2.8746
97	0.00143872	1.9868	-2.8420
98	0.00142704	1.9912	-2.8456
99	0.00121885	1.9956	-2.9140
100	0.00163878	2.0000	-2.7855
101	0.00158949	2.0043	-2.7987
102	0.00157774	2.0086	-2.8020
103	0.00185410	2.0128	-2.7319
104	0.00172322	2.0170	-2.7637
105	0.00201169	2.0212	-2.6964
106	0.00204600	2.0253	-2.6891
107	0.00187375	2.0294	-2.7273
108	0.00254451	2.0334	-2.5944
109	0.00224128	2.0374	-2.6495
110	0.00265762	2.0414	-2.5755
111	0.00280298	2.0453	-2.5524
112	0.00305932	2.0492	-2.5144
113	0.00279511	2.0531	-2.5536
114	0.00303763	2.0569	-2.5175
115	0.00288659	2.0607	-2.5396
116	0.00344285	2.0645	-2.4631
117	0.00364578	2.0682	-2.4382
118	0.00430298	2.0719	-2.3662
119	0.00366005	2.0755	-2.4365
120	0.00412805	2.0792	-2.3843
121	0.00401167	2.0828	-2.3967
122	0.00395621	2.0864	-2.4027
123	0.00420109	2.0899	-2.3766
124	0.00432075	2.0934	-2.3644
125	0.00384688	2.0969	-2.4149
126	0.00433975	2.1004	-2.3625
127	0.00448005	2.1038	-2.3487
128	0.00534557	2.1072	-2.2720
129	0.00495958	2.1106	-2.3046
130	0.00402211	2.1139	-2.3955
131	0.00628497	2.1173	-2.2017
132	0.00575279	2.1206	-2.2401
133	0.00689879	2.1239	-2.1612
134	0.00559035	2.1271	-2.2526
135	0.00739688	2.1303	-2.1310
136	0.00701140	2.1335	-2.1542
137	0.00749364	2.1367	-2.1253
138	0.00564004	2.1399	-2.2487
139	0.00709060	2.1430	-2.1493
140	0.00787190	2.1461	-2.1039
141	0.00713662	2.1492	-2.1465
142	0.00622508	2.1523	-2.2059
143	0.00671260	2.1553	-2.1731
144	0.00908814	2.1584	-2.0415
145	0.0114676	2.1614	-1.9405
