# P(s) decay curve
# Decay exponent: -0.3208
# R-squared: 0.1788
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.00939670	0.0000	-2.0270
2	0.00800638	0.3010	-2.0966
3	0.00797829	0.4771	-2.0981
4	0.00795751	0.6021	-2.0992
5	0.00789436	0.6990	-2.1027
6	0.00779676	0.7782	-2.1081
7	0.00773775	0.8451	-2.1114
8	0.00763684	0.9031	-2.1171
9	0.00717598	0.9542	-2.1441
10	0.00642095	1.0000	-2.1924
11	0.00567494	1.0414	-2.2460
12	0.00526869	1.0792	-2.2783
13	0.00484476	1.1139	-2.3147
14	0.00450173	1.1461	-2.3466
15	0.00436949	1.1761	-2.3596
16	0.00425631	1.2041	-2.3710
17	0.00420218	1.2304	-2.3765
18	0.00417982	1.2553	-2.3788
19	0.00402516	1.2788	-2.3952
20	0.00401356	1.3010	-2.3965
21	0.00391675	1.3222	-2.4071
22	0.00382169	1.3424	-2.4177
23	0.00377338	1.3617	-2.4233
24	0.00358897	1.3802	-2.4450
25	0.00355207	1.3979	-2.4495
26	0.00345083	1.4150	-2.4621
27	0.00325535	1.4314	-2.4874
28	0.00295044	1.4472	-2.5301
29	0.00284379	1.4624	-2.5461
30	0.00267181	1.4771	-2.5732
31	0.00256400	1.4914	-2.5911
32	0.00233582	1.5051	-2.6316
33	0.00229317	1.5185	-2.6396
34	0.00204170	1.5315	-2.6900
35	0.00201475	1.5441	-2.6958
36	0.00182635	1.5563	-2.7384
37	0.00184162	1.5682	-2.7348
38	0.00178818	1.5798	-2.7476
39	0.00163991	1.5911	-2.7852
40	0.00158704	1.6021	-2.7994
41	0.00152488	1.6128	-2.8168
42	0.00150049	1.6232	-2.8238
43	0.00143322	1.6335	-2.8437
44	0.00122016	1.6435	-2.9136
45	0.00131680	1.6532	-2.8805
46	0.00132706	1.6628	-2.8771
47	0.00131386	1.6721	-2.8815
48	0.00118695	1.6812	-2.9256
49	0.00121229	1.6902	-2.9164
50	0.00104887	1.6990	-2.9793
51	0.00112922	1.7076	-2.9472
52	0.00107756	1.7160	-2.9676
53	0.000973177	1.7243	-3.0118
54	0.000959649	1.7324	-3.0179
55	0.000913385	1.7404	-3.0393
56	0.000925777	1.7482	-3.0335
57	0.000852448	1.7559	-3.0693
58	0.000884294	1.7634	-3.0534
59	0.000936831	1.7709	-3.0283
60	0.000784787	1.7782	-3.1052
61	0.000882563	1.7853	-3.0543
62	0.000818050	1.7924	-3.0872
63	0.000883506	1.7993	-3.0538
64	0.000803088	1.8062	-3.0952
65	0.000794790	1.8129	-3.0997
66	0.000728682	1.8195	-3.1375
67	0.000711423	1.8261	-3.1479
68	0.000761701	1.8325	-3.1182
69	0.000731290	1.8388	-3.1359
70	0.000818261	1.8451	-3.0871
71	0.000803709	1.8513	-3.0949
72	0.000820928	1.8573	-3.0857
73	0.000824053	1.8633	-3.0840
74	0.000809238	1.8692	-3.0919
75	0.000884025	1.8751	-3.0535
76	0.000772878	1.8808	-3.1119
77	0.00102322	1.8865	-2.9900
78	0.000991414	1.8921	-3.0037
79	0.00102126	1.8976	-2.9909
80	0.00102767	1.9031	-2.9881
