# P(s) decay curve
# Decay exponent: -0.5963
# R-squared: 0.7784
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0100638	0.0000	-1.9972
2	0.00899549	0.3010	-2.0460
3	0.00877864	0.4771	-2.0566
4	0.00879384	0.6021	-2.0558
5	0.00855082	0.6990	-2.0680
6	0.00836257	0.7782	-2.0777
7	0.00829311	0.8451	-2.0813
8	0.00810591	0.9031	-2.0912
9	0.00795847	0.9542	-2.0992
10	0.00784209	1.0000	-2.1056
11	0.00778354	1.0414	-2.1088
12	0.00761345	1.0792	-2.1184
13	0.00755682	1.1139	-2.1217
14	0.00723906	1.1461	-2.1403
15	0.00712689	1.1761	-2.1471
16	0.00699154	1.2041	-2.1554
17	0.00678562	1.2304	-2.1684
18	0.00652496	1.2553	-2.1854
19	0.00654212	1.2788	-2.1843
20	0.00644933	1.3010	-2.1905
21	0.00636436	1.3222	-2.1962
22	0.00646019	1.3424	-2.1898
23	0.00651057	1.3617	-2.1864
24	0.00635045	1.3802	-2.1972
25	0.00634913	1.3979	-2.1973
26	0.00633088	1.4150	-2.1985
27	0.00625133	1.4314	-2.2040
28	0.00615975	1.4472	-2.2104
29	0.00616387	1.4624	-2.2101
30	0.00600665	1.4771	-2.2214
31	0.00592398	1.4914	-2.2274
32	0.00586833	1.5051	-2.2315
33	0.00567236	1.5185	-2.2462
34	0.00541630	1.5315	-2.2663
35	0.00541954	1.5441	-2.2660
36	0.00530260	1.5563	-2.2755
37	0.00510788	1.5682	-2.2918
38	0.00491290	1.5798	-2.3087
39	0.00477964	1.5911	-2.3206
40	0.00455543	1.6021	-2.3415
41	0.00425362	1.6128	-2.3712
42	0.00390858	1.6232	-2.4080
43	0.00369986	1.6335	-2.4318
44	0.00352023	1.6435	-2.4534
45	0.00309926	1.6532	-2.5087
46	0.00301584	1.6628	-2.5206
47	0.00292841	1.6721	-2.5334
48	0.00285333	1.6812	-2.5446
49	0.00287286	1.6902	-2.5417
50	0.00273455	1.6990	-2.5631
51	0.00275812	1.7076	-2.5594
52	0.00268460	1.7160	-2.5711
53	0.00266065	1.7243	-2.5750
54	0.00268383	1.7324	-2.5712
55	0.00252827	1.7404	-2.5972
56	0.00245509	1.7482	-2.6099
57	0.00253775	1.7559	-2.5956
58	0.00250325	1.7634	-2.6015
59	0.00257400	1.7709	-2.5894
60	0.00256632	1.7782	-2.5907
61	0.00243680	1.7853	-2.6132
62	0.00228326	1.7924	-2.6414
63	0.00245806	1.7993	-2.6094
64	0.00253246	1.8062	-2.5965
65	0.00236893	1.8129	-2.6254
66	0.00234890	1.8195	-2.6291
67	0.00224284	1.8261	-2.6492
68	0.00237065	1.8325	-2.6251
69	0.00242401	1.8388	-2.6155
70	0.00223136	1.8451	-2.6514
71	0.00214971	1.8513	-2.6676
72	0.00229445	1.8573	-2.6393
73	0.00231016	1.8633	-2.6364
74	0.00211582	1.8692	-2.6745
75	0.00201148	1.8751	-2.6965
76	0.00207753	1.8808	-2.6825
77	0.00195035	1.8865	-2.7099
78	0.00182087	1.8921	-2.7397
79	0.00198625	1.8976	-2.7020
80	0.00189967	1.9031	-2.7213
81	0.00182379	1.9085	-2.7390
82	0.00157182	1.9138	-2.8036
83	0.00144617	1.9191	-2.8398
84	0.00170995	1.9243	-2.7670
85	0.00118730	1.9294	-2.9254
86	0.00151917	1.9345	-2.8184
87	0.00168485	1.9395	-2.7734
88	0.00143534	1.9445	-2.8430
89	0.00142625	1.9494	-2.8458
90	0.00151523	1.9542	-2.8195
91	0.00123638	1.9590	-2.9078
92	0.00112506	1.9638	-2.9488
93	0.00132899	1.9685	-2.8765
94	0.00120656	1.9731	-2.9185
95	0.00127002	1.9777	-2.8962
96	0.00117232	1.9823	-2.9310
97	0.00178314	1.9868	-2.7488
98	0.00190943	1.9912	-2.7191
99	0.00255723	1.9956	-2.5922
100	0.00136107	2.0000	-2.8661
101	0.00173841	2.0043	-2.7598
102	0.00165547	2.0086	-2.7811
103	0.00211380	2.0128	-2.6749
