# P(s) decay curve
# Decay exponent: -1.5287
# R-squared: 0.6981
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0261244	0.0000	-1.5830
2	0.0200940	0.3010	-1.6969
3	0.0184953	0.4771	-1.7329
4	0.0173798	0.6021	-1.7600
5	0.0160549	0.6990	-1.7944
6	0.0148728	0.7782	-1.8276
7	0.0144456	0.8451	-1.8403
8	0.0138619	0.9031	-1.8582
9	0.0131587	0.9542	-1.8808
10	0.0125351	1.0000	-1.9019
11	0.0122414	1.0414	-1.9122
12	0.0119918	1.0792	-1.9211
13	0.0116568	1.1139	-1.9334
14	0.0113732	1.1461	-1.9441
15	0.0109795	1.1761	-1.9594
16	0.0107422	1.2041	-1.9689
17	0.0103462	1.2304	-1.9852
18	0.0101109	1.2553	-1.9952
19	0.00982636	1.2788	-2.0076
20	0.00963565	1.3010	-2.0161
21	0.00936722	1.3222	-2.0284
22	0.00925266	1.3424	-2.0337
23	0.00918211	1.3617	-2.0371
24	0.00913238	1.3802	-2.0394
25	0.00899973	1.3979	-2.0458
26	0.00881186	1.4150	-2.0549
27	0.00875308	1.4314	-2.0578
28	0.00862793	1.4472	-2.0641
29	0.00860747	1.4624	-2.0651
30	0.00846966	1.4771	-2.0721
31	0.00834676	1.4914	-2.0785
32	0.00827335	1.5051	-2.0823
33	0.00801995	1.5185	-2.0958
34	0.00797995	1.5315	-2.0980
35	0.00783485	1.5441	-2.1060
36	0.00781047	1.5563	-2.1073
37	0.00765334	1.5682	-2.1161
38	0.00740231	1.5798	-2.1306
39	0.00737445	1.5911	-2.1323
40	0.00723350	1.6021	-2.1407
41	0.00704607	1.6128	-2.1521
42	0.00696679	1.6232	-2.1570
43	0.00648372	1.6335	-2.1882
44	0.00654953	1.6435	-2.1838
45	0.00653534	1.6532	-2.1847
46	0.00619454	1.6628	-2.2080
47	0.00616331	1.6721	-2.2102
48	0.00599435	1.6812	-2.2223
49	0.00578511	1.6902	-2.2377
50	0.00569749	1.6990	-2.2443
51	0.00519902	1.7076	-2.2841
52	0.00510451	1.7160	-2.2920
53	0.00491481	1.7243	-2.3085
54	0.00475953	1.7324	-2.3224
55	0.00448803	1.7404	-2.3479
56	0.00428871	1.7482	-2.3677
57	0.00410685	1.7559	-2.3865
58	0.00382142	1.7634	-2.4178
59	0.00366051	1.7709	-2.4365
60	0.00323486	1.7782	-2.4901
61	0.00322120	1.7853	-2.4920
62	0.00299100	1.7924	-2.5242
63	0.00280654	1.7993	-2.5518
64	0.00247894	1.8062	-2.6057
65	0.00216773	1.8129	-2.6640
66	0.00206125	1.8195	-2.6859
67	0.00209146	1.8261	-2.6796
68	0.00185018	1.8325	-2.7328
69	0.00191993	1.8388	-2.7167
70	0.00157567	1.8451	-2.8025
71	0.00163059	1.8513	-2.7877
72	0.00141714	1.8573	-2.8486
73	0.00138176	1.8633	-2.8596
74	0.00108489	1.8692	-2.9646
75	0.000993568	1.8751	-3.0028
76	0.00110818	1.8808	-2.9554
77	0.00113214	1.8865	-2.9461
78	0.000990538	1.8921	-3.0041
79	0.00110082	1.8976	-2.9583
80	0.000822929	1.9031	-3.0846
81	0.000834246	1.9085	-3.0787
82	0.000783001	1.9138	-3.1062
83	0.000792796	1.9191	-3.1008
84	0.000738031	1.9243	-3.1319
85	0.000815924	1.9294	-3.0884
86	0.000808073	1.9345	-3.0925
87	0.000759841	1.9395	-3.1193
88	0.000549209	1.9445	-3.2603
89	0.000536921	1.9494	-3.2701
90	0.000504434	1.9542	-3.2972
91	0.000413427	1.9590	-3.3836
92	0.000432191	1.9638	-3.3643
93	0.000407458	1.9685	-3.3899
94	0.000442182	1.9731	-3.3544
95	0.000412788	1.9777	-3.3843
96	0.000164553	1.9823	-3.7837
97	0.000167545	1.9868	-3.7759
98	0.000276472	1.9912	-3.5583
99	0.000243404	1.9956	-3.6137
100	0.000197387	2.0000	-3.7047
101	0.000135130	2.0043	-3.8692
102	0.000223312	2.0086	-3.6511
103	0.000196574	2.0128	-3.7065
104	0.000195296	2.0170	-3.7093
105	0.000167175	2.0212	-3.7768
106	0.000186512	2.0253	-3.7293
107	0.0000980859	2.0294	-4.0084
108	0.0000261894	2.0334	-4.5819
109	0.000172214	2.0374	-3.7639
110	0.0000374251	2.0414	-4.4268
111	0.000177688	2.0453	-3.7503
112	0.000175172	2.0492	-3.7565
113	0.0000708845	2.0531	-4.1494
114	0.0000434596	2.0569	-4.3619
115	0.000157119	2.0607	-3.8038
116	0.000222507	2.0645	-3.6527
117	0.0000782487	2.0682	-4.1065
118	0.000150593	2.0719	-3.8222
119	0.0000829904	2.0755	-4.0810
120	0.000151272	2.0792	-3.8202
123	0.000174960	2.0899	-3.7571
124	0.0000856472	2.0934	-4.0673
129	0.0000499071	2.1106	-4.3018
131	0.000155147	2.1173	-3.8093
132	0.000187591	2.1206	-3.7268
133	0.0000675943	2.1239	-4.1701
134	0.000141163	2.1271	-3.8503
