# P(s) decay curve
# Decay exponent: -2.5825
# R-squared: 0.8364
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.100950	0.0000	-0.9959
2	0.0726651	0.3010	-1.1387
3	0.0637387	0.4771	-1.1956
4	0.0530754	0.6021	-1.2751
5	0.0416147	0.6990	-1.3808
6	0.0316543	0.7782	-1.4996
7	0.0264136	0.8451	-1.5782
8	0.0213079	0.9031	-1.6715
9	0.0161990	0.9542	-1.7905
10	0.0123587	1.0000	-1.9080
11	0.00933474	1.0414	-2.0299
12	0.00754305	1.0792	-2.1225
13	0.00466900	1.1139	-2.3308
14	0.00272728	1.1461	-2.5643
15	0.00223160	1.1761	-2.6514
16	0.00156009	1.2041	-2.8068
17	0.000724128	1.2304	-3.1402
18	0.000811496	1.2553	-3.0907
19	0.000598206	1.2788	-3.2231
20	0.000651245	1.3010	-3.1863
21	0.000492945	1.3222	-3.3072
22	0.000237993	1.3424	-3.6234
23	0.000237741	1.3617	-3.6239
24	0.000231204	1.3802	-3.6360
25	0.000129997	1.3979	-3.8861
26	0.000144811	1.4150	-3.8392
27	0.0000552518	1.4314	-4.2577
28	0.000152954	1.4472	-3.8154
29	0.000193265	1.4624	-3.7138
30	0.0000333703	1.4771	-4.4766
32	0.000193379	1.5051	-3.7136
