# P(s) decay curve
# Decay exponent: -1.2646
# R-squared: 0.4056
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0315875	0.0000	-1.5005
2	0.0257259	0.3010	-1.5896
3	0.0237998	0.4771	-1.6234
4	0.0228207	0.6021	-1.6417
5	0.0208721	0.6990	-1.6804
6	0.0191879	0.7782	-1.7170
7	0.0174788	0.8451	-1.7575
8	0.0159227	0.9031	-1.7980
9	0.0141289	0.9542	-1.8499
10	0.0131683	1.0000	-1.8805
11	0.0121362	1.0414	-1.9159
12	0.0109066	1.0792	-1.9623
13	0.0102579	1.1139	-1.9889
14	0.00937408	1.1461	-2.0281
15	0.00923784	1.1761	-2.0344
16	0.00884303	1.2041	-2.0534
17	0.00848910	1.2304	-2.0711
18	0.00717511	1.2553	-2.1442
19	0.00644349	1.2788	-2.1909
20	0.00506599	1.3010	-2.2953
21	0.00341313	1.3222	-2.4668
22	0.00242762	1.3424	-2.6148
23	0.00173032	1.3617	-2.7619
24	0.00105444	1.3802	-2.9770
25	0.000596016	1.3979	-3.2247
26	0.000614492	1.4150	-3.2115
27	0.000569730	1.4314	-3.2443
28	0.000272028	1.4472	-3.5654
29	0.000159230	1.4624	-3.7980
30	0.0000581768	1.4771	-4.2352
31	0.000125521	1.4914	-3.9013
32	0.0000928302	1.5051	-4.0323
37	0.0000407764	1.5682	-4.3896
44	0.0000607651	1.6435	-4.2163
45	0.0000423269	1.6532	-4.3734
49	0.0000156816	1.6902	-4.8046
72	0.000410846	1.8573	-3.3863
74	0.000343897	1.8692	-3.4636
82	0.000307015	1.9138	-3.5128
83	0.000376435	1.9191	-3.4243
87	0.000636433	1.9395	-3.1962
88	0.000680047	1.9445	-3.1675
90	0.000929441	1.9542	-3.0318
94	0.00479034	1.9731	-2.3196
95	0.0102292	1.9777	-1.9902
96	0.0119944	1.9823	-1.9210
