# P(s) decay curve
# Decay exponent: -1.4797
# R-squared: 0.8337
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0713436	0.0000	-1.1466
2	0.0611385	0.3010	-1.2137
3	0.0480381	0.4771	-1.3184
4	0.0420036	0.6021	-1.3767
5	0.0380785	0.6990	-1.4193
6	0.0350659	0.7782	-1.4551
7	0.0322763	0.8451	-1.4911
8	0.0281057	0.9031	-1.5512
9	0.0228350	0.9542	-1.6414
10	0.0202022	1.0000	-1.6946
11	0.0173765	1.0414	-1.7600
12	0.0159273	1.0792	-1.7979
13	0.0147016	1.1139	-1.8326
14	0.0137036	1.1461	-1.8632
15	0.0127738	1.1761	-1.8937
16	0.0118790	1.2041	-1.9252
17	0.0105094	1.2304	-1.9784
18	0.00981745	1.2553	-2.0080
19	0.00809627	1.2788	-2.0917
20	0.00608760	1.3010	-2.2156
21	0.00592813	1.3222	-2.2271
22	0.00530240	1.3424	-2.2755
23	0.00472384	1.3617	-2.3257
24	0.00394521	1.3802	-2.4039
25	0.00310244	1.3979	-2.5083
26	0.00353381	1.4150	-2.4518
27	0.00324010	1.4314	-2.4894
28	0.00264525	1.4472	-2.5775
29	0.00319566	1.4624	-2.4954
30	0.00166720	1.4771	-2.7780
31	0.00213847	1.4914	-2.6699
32	0.00274642	1.5051	-2.5612
33	0.00184142	1.5185	-2.7348
34	0.00159795	1.5315	-2.7964
35	0.000864150	1.5441	-3.0634
36	0.000682855	1.5563	-3.1657
37	0.00116794	1.5682	-2.9326
38	0.00125190	1.5798	-2.9024
39	0.000655905	1.5911	-3.1832
40	0.000694001	1.6021	-3.1586
41	0.000876215	1.6128	-3.0574
43	0.000300302	1.6335	-3.5224
45	0.00140952	1.6532	-2.8509
46	0.00157210	1.6628	-2.8035
