# P(s) decay curve
# Decay exponent: -0.1946
# R-squared: 0.3637
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.00377975	0.0000	-2.4225
2	0.00344196	0.3010	-2.4632
3	0.00324665	0.4771	-2.4886
4	0.00318659	0.6021	-2.4967
5	0.00314013	0.6990	-2.5031
6	0.00315990	0.7782	-2.5003
7	0.00315282	0.8451	-2.5013
8	0.00308200	0.9031	-2.5112
9	0.00301833	0.9542	-2.5202
10	0.00297052	1.0000	-2.5272
11	0.00289939	1.0414	-2.5377
12	0.00280450	1.0792	-2.5521
13	0.00263055	1.1139	-2.5800
14	0.00250403	1.1461	-2.6014
15	0.00238198	1.1761	-2.6231
16	0.00225659	1.2041	-2.6465
17	0.00210852	1.2304	-2.6760
18	0.00200971	1.2553	-2.6969
19	0.00195190	1.2788	-2.7095
20	0.00189418	1.3010	-2.7226
21	0.00188447	1.3222	-2.7248
22	0.00189143	1.3424	-2.7232
23	0.00185281	1.3617	-2.7322
24	0.00186137	1.3802	-2.7302
25	0.00183991	1.3979	-2.7352
26	0.00182175	1.4150	-2.7395
27	0.00180706	1.4314	-2.7430
28	0.00176501	1.4472	-2.7533
29	0.00174498	1.4624	-2.7582
30	0.00171390	1.4771	-2.7660
31	0.00165814	1.4914	-2.7804
32	0.00162962	1.5051	-2.7879
33	0.00157782	1.5185	-2.8019
34	0.00156499	1.5315	-2.8055
35	0.00147756	1.5441	-2.8305
36	0.00146626	1.5563	-2.8338
37	0.00141973	1.5682	-2.8478
38	0.00136319	1.5798	-2.8654
39	0.00134718	1.5911	-2.8706
40	0.00129724	1.6021	-2.8870
41	0.00128847	1.6128	-2.8899
42	0.00122821	1.6232	-2.9107
43	0.00122890	1.6335	-2.9105
44	0.00119677	1.6435	-2.9220
45	0.00119298	1.6532	-2.9234
46	0.00116696	1.6628	-2.9329
47	0.00117849	1.6721	-2.9287
48	0.00114808	1.6812	-2.9400
49	0.00113655	1.6902	-2.9444
50	0.00117194	1.6990	-2.9311
51	0.00116803	1.7076	-2.9325
52	0.00113283	1.7160	-2.9458
53	0.00112379	1.7243	-2.9493
54	0.00114301	1.7324	-2.9419
55	0.00116411	1.7404	-2.9340
56	0.00109297	1.7482	-2.9614
57	0.00114723	1.7559	-2.9404
58	0.00108434	1.7634	-2.9648
59	0.00114082	1.7709	-2.9428
60	0.00113424	1.7782	-2.9453
61	0.00114245	1.7853	-2.9422
62	0.00115955	1.7924	-2.9357
63	0.00113797	1.7993	-2.9439
64	0.00115741	1.8062	-2.9365
65	0.00117401	1.8129	-2.9303
66	0.00115483	1.8195	-2.9375
67	0.00112329	1.8261	-2.9495
68	0.00114190	1.8325	-2.9424
69	0.00110821	1.8388	-2.9554
70	0.00110065	1.8451	-2.9584
71	0.00109977	1.8513	-2.9587
72	0.00108789	1.8573	-2.9634
73	0.00106490	1.8633	-2.9727
74	0.00110911	1.8692	-2.9550
75	0.00109634	1.8751	-2.9601
76	0.00102340	1.8808	-2.9900
77	0.00104721	1.8865	-2.9800
78	0.00110620	1.8921	-2.9562
79	0.00108319	1.8976	-2.9653
80	0.00106665	1.9031	-2.9720
81	0.00111578	1.9085	-2.9524
82	0.00106625	1.9138	-2.9721
83	0.00109156	1.9191	-2.9620
84	0.00114810	1.9243	-2.9400
85	0.00108689	1.9294	-2.9638
86	0.00116071	1.9345	-2.9353
87	0.00115991	1.9395	-2.9356
88	0.00121856	1.9445	-2.9142
89	0.00122456	1.9494	-2.9120
90	0.00116932	1.9542	-2.9321
91	0.00118521	1.9590	-2.9262
92	0.00112627	1.9638	-2.9484
93	0.00112383	1.9685	-2.9493
94	0.00118407	1.9731	-2.9266
95	0.00119487	1.9777	-2.9227
96	0.00119353	1.9823	-2.9232
97	0.00120396	1.9868	-2.9194
98	0.00122279	1.9912	-2.9126
99	0.00127021	1.9956	-2.8961
100	0.00125235	2.0000	-2.9023
101	0.00133127	2.0043	-2.8757
102	0.00128966	2.0086	-2.8895
103	0.00126765	2.0128	-2.8970
104	0.00132937	2.0170	-2.8764
105	0.00134569	2.0212	-2.8711
106	0.00137122	2.0253	-2.8629
107	0.00137721	2.0294	-2.8610
108	0.00136127	2.0334	-2.8661
109	0.00138626	2.0374	-2.8582
110	0.00150089	2.0414	-2.8236
111	0.00141256	2.0453	-2.8500
112	0.00148115	2.0492	-2.8294
113	0.00129340	2.0531	-2.8883
114	0.00142703	2.0569	-2.8456
115	0.00147800	2.0607	-2.8303
