# P(s) decay curve
# Decay exponent: -0.8952
# R-squared: 0.1734
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0642899	0.0000	-1.1919
2	0.0459629	0.3010	-1.3376
3	0.0344366	0.4771	-1.4630
4	0.0284929	0.6021	-1.5453
5	0.0232075	0.6990	-1.6344
6	0.0203727	0.7782	-1.6910
7	0.0181855	0.8451	-1.7403
8	0.0161223	0.9031	-1.7926
9	0.0144869	0.9542	-1.8390
10	0.0130530	1.0000	-1.8843
11	0.0123377	1.0414	-1.9088
12	0.0114385	1.0792	-1.9416
13	0.0105306	1.1139	-1.9775
14	0.00975755	1.1461	-2.0107
15	0.00787112	1.1761	-2.1040
16	0.00632502	1.2041	-2.1989
17	0.00503756	1.2304	-2.2978
18	0.00394014	1.2553	-2.4045
19	0.00279477	1.2788	-2.5537
20	0.00263319	1.3010	-2.5795
21	0.00181763	1.3222	-2.7405
22	0.000841591	1.3424	-3.0749
23	0.000771047	1.3617	-3.1129
24	0.000474970	1.3802	-3.3233
25	0.000599894	1.3979	-3.2219
26	0.000469308	1.4150	-3.3285
27	0.000490048	1.4314	-3.3098
28	0.000414427	1.4472	-3.3826
29	0.000265208	1.4624	-3.5764
30	0.000296401	1.4771	-3.5281
31	0.000185648	1.4914	-3.7313
32	0.0000744511	1.5051	-4.1281
33	0.0000941137	1.5185	-4.0263
34	0.000245953	1.5315	-3.6091
35	0.0000642993	1.5441	-4.1918
36	0.0000649771	1.5563	-4.1872
37	0.000139602	1.5682	-3.8551
39	0.0000757151	1.5911	-4.1208
40	0.0000284186	1.6021	-4.5464
43	0.0000627005	1.6335	-4.2027
47	0.0000347616	1.6721	-4.4589
49	0.0000254030	1.6902	-4.5951
50	0.000385008	1.6990	-3.4145
51	0.000218871	1.7076	-3.6598
52	0.000126749	1.7160	-3.8971
53	0.000231342	1.7243	-3.6357
54	0.0000519232	1.7324	-4.2846
55	0.0000432795	1.7404	-4.3637
56	0.000170412	1.7482	-3.7685
57	0.000363237	1.7559	-3.4398
70	0.0000445272	1.8451	-4.3514
73	0.0000397066	1.8633	-4.4011
74	0.0000396703	1.8692	-4.4015
80	0.000145020	1.9031	-3.8386
81	0.0000479220	1.9085	-4.3195
88	0.000137866	1.9445	-3.8605
91	0.0000701642	1.9590	-4.1539
92	0.0000797826	1.9638	-4.0981
105	0.000604699	2.0212	-3.2185
112	0.000275206	2.0492	-3.5603
113	0.000796302	2.0531	-3.0989
114	0.00153474	2.0569	-2.8140
115	0.00251960	2.0607	-2.5987
116	0.00254023	2.0645	-2.5951
117	0.00216059	2.0682	-2.6654
136	0.00604429	2.1335	-2.2187
137	0.00454974	2.1367	-2.3420
138	0.0302004	2.1399	-1.5200
139	0.0340189	2.1430	-1.4683
140	0.0485074	2.1461	-1.3142
141	0.0335096	2.1492	-1.4748
142	0.0179247	2.1523	-1.7465
143	0.00967158	2.1553	-2.0145
