# P(s) decay curve
# Decay exponent: -0.3611
# R-squared: 0.4675
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0149838	0.0000	-1.8244
2	0.0144907	0.3010	-1.8389
3	0.0130293	0.4771	-1.8851
4	0.0121371	0.6021	-1.9159
5	0.0115783	0.6990	-1.9364
6	0.0113208	0.7782	-1.9461
7	0.0110134	0.8451	-1.9581
8	0.0110774	0.9031	-1.9556
9	0.0109100	0.9542	-1.9622
10	0.0110672	1.0000	-1.9560
11	0.0111312	1.0414	-1.9535
12	0.0109197	1.0792	-1.9618
13	0.0111129	1.1139	-1.9542
14	0.0112194	1.1461	-1.9500
15	0.0111810	1.1761	-1.9515
16	0.0112060	1.2041	-1.9505
17	0.0112083	1.2304	-1.9505
18	0.0111362	1.2553	-1.9533
19	0.0108620	1.2788	-1.9641
20	0.0104367	1.3010	-1.9814
21	0.00986777	1.3222	-2.0058
22	0.00929010	1.3424	-2.0320
23	0.00890793	1.3617	-2.0502
24	0.00831904	1.3802	-2.0799
25	0.00778269	1.3979	-2.1089
26	0.00721280	1.4150	-2.1419
27	0.00695640	1.4314	-2.1576
28	0.00644238	1.4472	-2.1910
29	0.00622563	1.4624	-2.2058
30	0.00601875	1.4771	-2.2205
31	0.00585787	1.4914	-2.2323
32	0.00546462	1.5051	-2.2624
33	0.00538048	1.5185	-2.2692
34	0.00525951	1.5315	-2.2791
35	0.00507022	1.5441	-2.2950
36	0.00484225	1.5563	-2.3150
37	0.00486733	1.5682	-2.3127
38	0.00464970	1.5798	-2.3326
39	0.00457386	1.5911	-2.3397
40	0.00441199	1.6021	-2.3554
41	0.00439077	1.6128	-2.3575
42	0.00417643	1.6232	-2.3792
43	0.00396734	1.6335	-2.4015
44	0.00383301	1.6435	-2.4165
45	0.00376931	1.6532	-2.4237
46	0.00370973	1.6628	-2.4307
47	0.00349153	1.6721	-2.4570
48	0.00344476	1.6812	-2.4628
49	0.00323367	1.6902	-2.4903
50	0.00312624	1.6990	-2.5050
51	0.00305882	1.7076	-2.5144
52	0.00290421	1.7160	-2.5370
53	0.00288736	1.7243	-2.5395
54	0.00279515	1.7324	-2.5536
55	0.00266288	1.7404	-2.5746
56	0.00251907	1.7482	-2.5988
57	0.00249623	1.7559	-2.6027
58	0.00250492	1.7634	-2.6012
59	0.00236631	1.7709	-2.6259
