# P(s) decay curve
# Decay exponent: -0.5413
# R-squared: 0.2211
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0355433	0.0000	-1.4492
2	0.0221756	0.3010	-1.6541
3	0.0208106	0.4771	-1.6817
4	0.0206849	0.6021	-1.6843
5	0.0198080	0.6990	-1.7032
6	0.0196238	0.7782	-1.7072
7	0.0194230	0.8451	-1.7117
8	0.0196766	0.9031	-1.7060
9	0.0196002	0.9542	-1.7077
10	0.0193450	1.0000	-1.7134
11	0.0192471	1.0414	-1.7156
12	0.0189372	1.0792	-1.7227
13	0.0184380	1.1139	-1.7343
14	0.0179942	1.1461	-1.7449
15	0.0171508	1.1761	-1.7657
16	0.0162329	1.2041	-1.7896
17	0.0150564	1.2304	-1.8223
18	0.0137986	1.2553	-1.8602
19	0.0126209	1.2788	-1.8989
20	0.0113679	1.3010	-1.9443
21	0.0104931	1.3222	-1.9791
22	0.0100927	1.3424	-1.9960
23	0.00929144	1.3617	-2.0319
24	0.00898050	1.3802	-2.0467
25	0.00869940	1.3979	-2.0605
26	0.00825935	1.4150	-2.0831
27	0.00803686	1.4314	-2.0949
28	0.00783529	1.4472	-2.1059
29	0.00771013	1.4624	-2.1129
30	0.00746126	1.4771	-2.1272
31	0.00742261	1.4914	-2.1294
32	0.00718327	1.5051	-2.1437
33	0.00697154	1.5185	-2.1567
34	0.00697244	1.5315	-2.1566
35	0.00678860	1.5441	-2.1682
36	0.00654608	1.5563	-2.1840
37	0.00652158	1.5682	-2.1856
38	0.00616492	1.5798	-2.2101
39	0.00570041	1.5911	-2.2441
40	0.00530288	1.6021	-2.2755
41	0.00510612	1.6128	-2.2919
42	0.00480690	1.6232	-2.3181
43	0.00407212	1.6335	-2.3902
44	0.00409212	1.6435	-2.3881
45	0.00343535	1.6532	-2.4640
46	0.00325301	1.6628	-2.4877
47	0.00312171	1.6721	-2.5056
48	0.00269723	1.6812	-2.5691
49	0.00220373	1.6902	-2.6568
50	0.00166312	1.6990	-2.7791
51	0.00170021	1.7076	-2.7695
52	0.00147233	1.7160	-2.8320
53	0.00125490	1.7243	-2.9014
54	0.00118524	1.7324	-2.9262
55	0.00110047	1.7404	-2.9584
56	0.000939312	1.7482	-3.0272
57	0.000661483	1.7559	-3.1795
58	0.000642726	1.7634	-3.1920
59	0.000788865	1.7709	-3.1030
60	0.000744803	1.7782	-3.1280
61	0.000408504	1.7853	-3.3888
62	0.000637936	1.7924	-3.1952
63	0.000555839	1.7993	-3.2551
64	0.000520396	1.8062	-3.2837
65	0.000755606	1.8129	-3.1217
66	0.000536374	1.8195	-3.2705
67	0.000622842	1.8261	-3.2056
68	0.000654022	1.8325	-3.1844
69	0.000571603	1.8388	-3.2429
70	0.000481233	1.8451	-3.3176
