# P(s) decay curve
# Decay exponent: -1.0860
# R-squared: 0.3162
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0530151	0.0000	-1.2756
2	0.0441285	0.3010	-1.3553
3	0.0396373	0.4771	-1.4019
4	0.0353650	0.6021	-1.4514
5	0.0323398	0.6990	-1.4903
6	0.0294816	0.7782	-1.5304
7	0.0273832	0.8451	-1.5625
8	0.0250356	0.9031	-1.6014
9	0.0244218	0.9542	-1.6122
10	0.0234518	1.0000	-1.6298
11	0.0208896	1.0414	-1.6801
12	0.0195914	1.0792	-1.7079
13	0.0174077	1.1139	-1.7593
14	0.0156704	1.1461	-1.8049
15	0.0136120	1.1761	-1.8661
16	0.0120658	1.2041	-1.9184
17	0.0108117	1.2304	-1.9661
18	0.00979349	1.2553	-2.0091
19	0.00896586	1.2788	-2.0474
20	0.00814515	1.3010	-2.0891
21	0.00676538	1.3222	-2.1697
22	0.00655203	1.3424	-2.1836
23	0.00576050	1.3617	-2.2395
24	0.00473048	1.3802	-2.3251
25	0.00433655	1.3979	-2.3629
26	0.00374262	1.4150	-2.4268
27	0.00294723	1.4314	-2.5306
28	0.00207008	1.4472	-2.6840
29	0.00171788	1.4624	-2.7650
30	0.00140032	1.4771	-2.8538
31	0.000997373	1.4914	-3.0011
32	0.00104547	1.5051	-2.9807
33	0.000881031	1.5185	-3.0550
34	0.000470518	1.5315	-3.3274
35	0.000382867	1.5441	-3.4170
36	0.000432016	1.5563	-3.3645
37	0.000380817	1.5682	-3.4193
38	0.000217435	1.5798	-3.6627
39	0.000175052	1.5911	-3.7568
40	0.000227261	1.6021	-3.6435
41	0.0000784507	1.6128	-4.1054
43	0.000104683	1.6335	-3.9801
44	0.0000817261	1.6435	-4.0876
45	0.0000278317	1.6532	-4.5555
47	0.000153142	1.6721	-3.8149
48	0.0000722310	1.6812	-4.1413
52	0.0000723974	1.7160	-4.1403
56	0.000131382	1.7482	-3.8815
57	0.000100068	1.7559	-3.9997
58	0.000109678	1.7634	-3.9599
60	0.0000366100	1.7782	-4.4364
65	0.0000288510	1.8129	-4.5398
66	0.0000466631	1.8195	-4.3310
74	0.000112642	1.8692	-3.9483
77	0.000123382	1.8865	-3.9087
87	0.000169724	1.9395	-3.7703
88	0.0000935624	1.9445	-4.0289
89	0.000200487	1.9494	-3.6979
90	0.000179345	1.9542	-3.7463
91	0.000126246	1.9590	-3.8988
92	0.0000797590	1.9638	-4.0982
93	0.000190810	1.9685	-3.7194
94	0.000239397	1.9731	-3.6209
95	0.000120266	1.9777	-3.9199
96	0.000168447	1.9823	-3.7735
97	0.0000737747	1.9868	-4.1321
98	0.0000642012	1.9912	-4.1925
99	0.000176536	1.9956	-3.7532
106	0.000198650	2.0253	-3.7019
107	0.000276962	2.0294	-3.5576
109	0.000234535	2.0374	-3.6298
110	0.000995730	2.0414	-3.0019
117	0.000177451	2.0682	-3.7509
160	0.000739639	2.2041	-3.1310
162	0.00191907	2.2095	-2.7169
164	0.00126395	2.2148	-2.8983
165	0.00367073	2.2175	-2.4352
166	0.00153407	2.2201	-2.8142
167	0.00280732	2.2227	-2.5517
168	0.00111709	2.2253	-2.9519
169	0.000955074	2.2279	-3.0200
173	0.00141935	2.2380	-2.8479
175	0.00191176	2.2430	-2.7186
176	0.00483268	2.2455	-2.3158
177	0.00494064	2.2480	-2.3062
178	0.00416912	2.2504	-2.3800
179	0.00578172	2.2529	-2.2379
180	0.00617595	2.2553	-2.2093
181	0.124441	2.2577	-0.9050
