# P(s) decay curve
# Decay exponent: -0.4743
# R-squared: 0.7051
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0412682	0.0000	-1.3844
2	0.0296271	0.3010	-1.5283
3	0.0233389	0.4771	-1.6319
4	0.0213308	0.6021	-1.6710
5	0.0212700	0.6990	-1.6722
6	0.0209008	0.7782	-1.6798
7	0.0204851	0.8451	-1.6886
8	0.0202173	0.9031	-1.6943
9	0.0196739	0.9542	-1.7061
10	0.0194497	1.0000	-1.7111
11	0.0179348	1.0414	-1.7463
12	0.0180563	1.0792	-1.7434
13	0.0177227	1.1139	-1.7515
14	0.0173717	1.1461	-1.7602
15	0.0167792	1.1761	-1.7752
16	0.0163185	1.2041	-1.7873
17	0.0159808	1.2304	-1.7964
18	0.0138385	1.2553	-1.8589
19	0.0119286	1.2788	-1.9234
20	0.00937552	1.3010	-2.0280
21	0.00825247	1.3222	-2.0834
22	0.00668595	1.3424	-2.1748
23	0.00578013	1.3617	-2.2381
24	0.00674702	1.3802	-2.1709
25	0.0124302	1.3979	-1.9055
