# P(s) decay curve
# Decay exponent: -0.4592
# R-squared: 0.6791
# Distance range: 1-500 px
distance	mean_contacts	log10_distance	log10_contacts
1	0.0532769	0.0000	-1.2735
2	0.0349202	0.3010	-1.4569
3	0.0345603	0.4771	-1.4614
4	0.0339119	0.6021	-1.4696
5	0.0336063	0.6990	-1.4736
6	0.0327691	0.7782	-1.4845
7	0.0332490	0.8451	-1.4782
8	0.0338334	0.9031	-1.4707
9	0.0301074	0.9542	-1.5213
10	0.0272429	1.0000	-1.5647
11	0.0194955	1.0414	-1.7101
12	0.0138477	1.0792	-1.8586
13	0.0164107	1.1139	-1.7849
14	0.0122935	1.1461	-1.9103
15	0.0140358	1.1761	-1.8528
