species,n_points,header_exp,header_r2,exp_full,r2_full,d_exp_vs_header,d_r2_vs_header,exp_drop3,r2_drop3,exp_drop5,r2_drop5,exp_common,r2_common,common_max,exp_w50,r2_w50,exp_logbin,r2_logbin
armadillo,56,-0.659900,0.814400,-0.659932,0.814384,-0.000032,-0.000016,-0.809042,0.833423,-0.885974,0.837025,-0.338490,0.977685,15,-0.598455,0.874597,-0.494577,0.891394
bat,87,-1.138400,0.665100,-1.138443,0.665135,-0.000043,0.000035,-1.313285,0.647983,-1.393265,0.632469,-0.535092,0.974876,15,-0.886375,0.893213,-0.735594,0.826259
coelacanth,54,-0.800700,0.823800,-0.800663,0.823820,0.000037,0.000020,-1.017100,0.874520,-1.106485,0.877812,-0.316986,0.911093,15,-0.750927,0.836424,-0.588658,0.855913
crocodile,105,-0.281100,0.230600,-0.281071,0.230647,0.000029,0.000047,-0.237609,0.126679,-0.182181,0.067928,-0.270766,0.716976,15,-0.632681,0.878539,-0.419422,0.742509
finch,145,-0.585200,0.484700,-0.585200,0.484702,0.000000,0.000002,-0.651581,0.463849,-0.670467,0.439952,-0.143859,0.841966,15,-0.357785,0.870907,-0.452361,0.741371
frog,165,-0.320800,0.178800,-0.320808,0.178778,-0.000008,-0.000022,-0.286152,0.114072,-0.246444,0.077413,-0.256721,0.678658,15,-0.651287,0.813615,-0.464730,0.720147
gharial,103,-0.596300,0.778400,-0.596320,0.778436,-0.000020,0.000036,-0.730687,0.843908,-0.793865,0.865505,-0.112771,0.944224,15,-0.313858,0.662484,-0.356048,0.741634
koala,166,-1.528700,0.698100,-1.528649,0.698135,0.000051,0.000035,-1.754996,0.731128,-1.858737,0.740610,-0.311898,0.994939,15,-0.380629,0.971012,-0.901349,0.754778
lancelet,31,-2.582500,0.836400,-2.582464,0.836435,0.000036,0.000035,-3.668521,0.928934,-4.129231,0.943496,-1.375978,0.811817,15,,,-2.045394,0.811317
quail,46,-1.264600,0.405600,-1.264600,0.405646,0.000000,0.000046,-1.403447,0.344673,-1.380834,0.290182,-0.475921,0.904009,15,,,-1.244928,0.550030
shark,44,-1.479700,0.833700,-1.479689,0.833690,0.000011,-0.000010,-1.935792,0.891926,-2.148731,0.904680,-0.681297,0.917164,15,,,-1.128220,0.854595
stubfoot,159,-0.194600,0.363700,-0.194564,0.363674,0.000036,-0.000026,-0.178114,0.261949,-0.160725,0.202800,-0.137334,0.810815,15,-0.375618,0.865885,-0.269181,0.843668
toad,73,-0.895200,0.173400,-0.895251,0.173395,-0.000051,-0.000005,-0.712699,0.085015,-0.547276,0.045094,-0.762412,0.982624,15,-2.345693,0.789874,-1.295469,0.597485
tortoise,170,-0.361100,0.467500,-0.361099,0.467474,0.000001,-0.000026,-0.366294,0.401738,-0.361067,0.361519,-0.122294,0.858305,15,-0.448068,0.715737,-0.381757,0.786365
turtle,158,-0.541300,0.221100,-0.541309,0.221106,-0.000009,0.000006,-0.530252,0.166171,-0.506053,0.135473,-0.185167,0.751303,15,-0.678878,0.749420,-0.632559,0.673418
whiptail,89,-1.086000,0.316200,-1.086018,0.316173,-0.000018,-0.000027,-1.062425,0.242464,-0.993838,0.195277,-0.474693,0.916226,15,-2.009607,0.693934,-1.163065,0.588940
wrasse,25,-0.474300,0.705100,-0.474263,0.705137,0.000037,0.000037,-0.618114,0.624790,-0.793785,0.664625,-0.286463,0.922757,15,,,-0.395428,0.845903
xenopus,15,-0.459200,0.679100,-0.459237,0.679027,-0.000037,-0.000073,-0.829861,0.735821,-1.230241,0.837549,-0.459237,0.679027,15,,,-0.373551,0.655129
